revenue,expenses,marketing_spend,employee_count,operational_cost,profit
103931.67,51760.8,4863.04,6,31899.37,24074.09
186771.49,74629.86,18808.97,14,51951.94,62047.76
10000.0,5123.97,819.15,5,3245.76,2039.47
117065.88,57687.29,21931.42,12,16995.63,51244.58
278081.32,210704.47,26103.49,8,106360.99,-30918.26
1493810.91,1017236.21,237270.77,11,427663.02,101456.11
74801.61,41332.21,8986.82,11,26488.85,7999.09
48400.22,38438.74,7245.25,11,8420.77,1318.79
76677.56,40841.44,5690.99,7,24676.67,10521.06
642487.84,211454.9,122152.26,13,214789.6,230871.61
266499.24,114897.72,32010.57,12,58424.78,95851.35
73523.45,38087.74,12596.41,7,15821.22,22173.11
351477.56,133017.14,32356.24,14,104507.94,112431.95
188266.98,145677.7,8855.31,7,24102.37,20511.42
695904.34,475598.04,100579.74,10,223167.65,34574.06
56778.92,24650.2,1778.27,10,6408.41,24549.31
99559.11,59277.72,11031.13,8,15648.41,26158.92
90385.38,59719.84,5674.06,10,27047.2,1517.37
18119.2,13963.37,2476.06,8,2346.38,1540.04
253769.19,187996.7,49865.99,10,99363.99,-17012.25
240766.51,134250.47,26231.15,12,86800.87,25535.0
164007.95,112726.98,27713.19,9,47216.36,13880.3
114475.87,66518.76,13316.21,10,39576.28,12386.51
19476.11,11225.09,2225.98,10,7133.59,1517.88
86598.0,30947.61,16295.32,11,15400.82,42014.18
97336.39,35339.81,17646.52,11,34537.24,27686.63
48853.64,27590.91,7991.77,7,7740.28,13507.43
127780.78,55511.9,10268.91,11,28623.24,43258.65
298366.03,92648.16,36595.02,9,79806.31,138215.51
2755966.76,1822850.44,187578.07,10,865834.61,154379.18
211475.98,66877.86,22303.49,10,23059.85,127002.48
239504.05,143136.82,26900.19,8,44823.86,53460.66
145558.18,82909.49,24945.59,11,41128.3,28556.21
10000.0,7844.07,1823.25,9,2072.11,232.98
156408.93,84790.31,15716.82,6,52007.14,28027.58
178143.61,59108.18,5880.48,8,52640.66,63231.71
5000000.0,2879219.92,882507.76,10,851602.18,1354539.62
121961.24,87878.94,7272.23,9,17535.43,18235.56
255843.45,204271.72,34723.06,11,73865.61,-18466.09
154497.37,79592.65,5290.77,9,36328.54,38834.9
28197.34,12974.99,2760.97,7,4248.98,11051.56
903683.28,680768.7,178579.79,14,178850.0,109341.19
502775.76,198908.68,23689.74,6,95986.94,195750.63
533144.58,323999.67,54395.59,13,70609.45,131407.04
41602.64,20920.19,3420.38,8,10986.12,9800.59
1334665.78,427815.35,245398.3,12,439231.29,466214.63
19875.11,9413.73,3533.55,7,5418.75,6076.89
392497.58,169800.05,27635.28,14,136544.96,81641.82
4349987.11,2797239.97,190537.8,10,601475.17,1140527.68
36834.7,28524.61,5032.12,9,8497.16,963.86
69602.34,30209.06,6068.12,10,19685.25,22517.83
188995.23,133380.16,27263.38,7,57227.84,9391.17
76480.15,25061.01,2712.01,7,23612.17,28738.11
15898.89,9047.43,837.52,8,5066.81,1684.88
180384.23,60478.33,26459.35,8,53290.72,70469.02
33075.38,25369.36,2186.38,7,4242.53,3744.39
331170.51,226247.62,58216.43,10,102196.47,8421.7
40980.99,25776.02,1637.62,10,13008.79,2470.12
1664277.42,1184879.3,110894.03,11,662455.61,-172477.24
50267.8,31355.04,10041.26,11,15482.92,3743.51
100399.02,78760.24,10403.64,8,30727.03,-7405.84
551433.11,362279.96,82441.55,8,140308.84,78341.89
25686.06,19581.23,1568.2,12,9256.66,-2273.87
228934.2,127874.85,30603.39,9,91356.29,5983.88
1156274.93,414561.8,177416.55,9,385864.51,370874.68
14599.98,8235.68,1218.53,4,4142.74,2262.31
214690.08,78026.19,36693.22,12,26554.25,109489.14
240343.44,143303.99,31864.97,10,76434.44,22360.72
525830.56,284603.97,50559.09,10,164358.05,87265.82
25452.62,15558.87,3176.47,8,8467.33,2411.86
22456.04,6849.62,2875.48,10,3084.71,13240.14
356080.59,141513.63,20702.88,10,105442.49,104193.93
254098.43,138652.68,25019.68,15,47952.74,81095.47
236981.95,183720.68,20945.22,11,77749.36,-18002.11
273668.37,134591.34,26861.5,12,47101.66,97044.1
58686.38,30058.34,9353.95,11,17910.71,13212.06
230586.32,151575.46,25832.94,10,43465.03,39898.62
252611.68,152046.05,47959.27,9,25942.79,91127.02
55741.09,25053.56,4455.11,10,16165.33,15792.16
2672865.74,1350888.26,269076.35,13,358112.49,1008009.01
331289.99,135447.88,54259.56,9,98654.0,114238.42
27256.43,21342.08,3347.75,9,10294.29,-3231.03
435752.81,159187.99,53595.32,13,170280.77,134132.9
37721.2,18329.42,1473.69,13,6441.91,13527.03
529997.15,165846.44,51813.55,13,181670.29,193035.52
925318.58,380203.92,70347.1,15,190676.68,372708.91
47523.35,32802.31,9499.3,8,17590.16,-721.91
690426.08,276576.14,56905.17,13,232153.61,210333.91
302298.85,102791.19,54523.95,13,36933.82,177336.99
558544.87,300065.16,80966.52,9,124075.77,169235.26
2800166.6,854007.74,246290.86,11,563380.49,1437726.25
112636.13,38564.71,13786.76,13,37795.54,40416.36
52543.45,36980.76,9084.3,7,11721.69,7163.04
42861.46,29391.68,7722.46,6,13088.88,2995.8
47871.93,36266.31,2741.48,12,13439.11,-314.67
144979.47,105437.44,12718.68,12,56932.22,-16073.25
271502.86,174192.92,23617.47,11,103533.68,7044.16
246480.02,80393.51,9156.14,10,56273.82,115407.39
562853.62,389170.68,74128.06,10,178465.95,2809.96
165960.13,119948.58,29096.03,11,57893.2,-5314.05
1440212.34,1007487.68,136629.55,15,532397.14,5219.74
109427.2,60648.88,17049.43,10,13179.44,37517.92
5000000.0,2082254.6,683545.35,17,953118.2,1988368.54
416025.16,300646.82,39048.24,9,81569.64,67669.95
44993.07,29856.56,2428.73,9,10363.42,5409.68
32652.0,25807.5,4916.9,8,4923.25,2803.95
335611.2,126809.45,58824.61,8,83520.79,133014.31
116402.1,48054.54,17064.0,9,34800.07,41182.61
474967.06,192788.69,15692.6,12,118366.15,190521.56
330994.3,230461.36,22097.04,12,99211.55,623.54
145911.66,57409.47,6100.8,14,17499.55,71310.54
45697.98,15232.5,5802.07,10,16579.05,14612.08
16776.41,13409.06,2660.76,10,6403.9,-2087.28
83301.98,26024.25,4065.01,9,23772.07,36054.44
588068.19,422010.69,101452.01,14,214302.22,-3543.62
224389.94,108309.3,27922.3,15,31287.54,95991.57
25119.3,18106.19,3699.94,9,8521.34,9.94
211033.34,121831.71,41180.69,8,28646.61,67975.74
290098.58,217810.54,12829.83,9,64518.81,4387.74
43226.71,32986.15,7919.48,9,8521.95,3732.0
204963.6,62421.48,10542.81,11,56503.86,88653.3
177604.26,59978.04,17192.62,11,33825.51,82805.68
29305.91,12460.27,5121.05,9,8533.71,8888.13
278362.93,176665.18,51236.38,10,58516.39,47668.27
377443.73,280869.51,43814.87,9,135214.35,-31374.14
826187.37,437855.33,108228.72,12,239730.78,157018.65
790723.07,477190.74,118912.93,15,130144.71,194125.9
20609.26,8125.2,3535.91,10,4139.14,8522.15
39865.34,28004.74,2019.45,10,14121.35,-1639.35
352410.83,276171.7,59103.45,13,76100.98,-5593.84
351751.04,152765.29,39331.73,10,91715.47,115011.06
352417.39,192917.85,37569.8,10,103851.27,66046.45
5000000.0,1715290.28,510314.79,11,1021714.47,2306016.82
383208.98,222095.79,44669.13,10,72117.47,108281.99
893899.35,492888.7,170429.59,11,216838.95,180924.04
680785.56,253400.8,83869.13,14,111964.91,322237.09
432391.57,225290.32,83036.56,10,80106.24,133929.32
101427.15,47371.79,6151.49,8,12031.65,44430.94
508110.3,285006.91,77793.27,15,97146.16,136103.22
51060.28,30269.92,8582.25,8,10018.6,14747.85
114093.33,34712.64,16595.09,10,44330.96,35806.44
78586.46,53478.32,10465.89,10,21762.06,1719.0
184022.11,120811.83,23190.13,8,61870.94,9246.77
5000000.0,2415715.97,881790.91,15,568065.88,2021082.33
10000.0,3264.68,1696.8,9,1319.61,5714.89
455609.01,308659.74,23139.96,14,156894.01,-14321.1
14485.83,11264.0,2524.3,6,4158.37,-1152.25
80185.84,33684.13,8049.99,10,12612.8,35007.38
833530.77,384893.09,60954.82,11,184575.9,296618.0
179229.08,70241.03,31877.8,11,46886.64,63529.49
32318.1,19018.17,3343.12,6,11410.97,3086.56
55661.53,21007.81,9318.96,9,6574.94,31148.36
451078.48,215659.26,33731.02,8,125858.42,107547.95
54417.99,35290.42,1668.89,10,17147.69,1904.73
225187.32,130621.71,25722.71,6,88581.39,19693.38
174269.42,85955.13,8197.42,6,59625.94,33221.53
61242.67,31241.41,9691.28,11,11199.34,19917.8
4056844.99,2357251.86,312104.34,12,1269280.34,504099.65
421206.52,127597.09,44403.49,9,138569.94,162055.35
10000.0,3392.55,447.96,10,3189.21,3733.67
215277.13,159440.5,16949.21,11,74495.19,-11404.86
60314.05,20442.81,9822.34,11,22383.69,20068.91
584580.63,381966.04,32602.03,11,75720.12,133703.52
49573.86,37677.08,6941.19,14,6515.45,5044.22
137021.8,59651.32,25480.9,9,46439.43,31965.14
347139.13,168447.77,50533.82,14,60996.42,124760.15
596379.68,348560.49,100116.46,11,70111.84,202338.38
26891.23,19922.49,1304.9,5,5925.99,1828.6
98542.99,75971.99,7156.63,10,34092.23,-7888.01
79824.2,53464.78,14533.72,10,11013.31,17499.05
61084.06,20970.76,9258.39,7,18420.06,24942.36
2299451.93,1459179.49,318989.52,10,232439.54,597017.51
298782.92,150930.75,42678.26,10,39714.59,120821.83
24555.08,13145.57,2465.68,9,5040.06,6633.16
644862.84,209305.84,24230.48,6,80659.89,373405.67
3926402.99,1553014.38,641397.8,15,1389045.55,1145286.34
765816.52,532439.15,111335.36,10,275097.49,-58886.36
16662.98,8781.05,1839.21,5,5443.32,2789.77
78719.71,35489.3,14402.49,11,13598.35,32022.57
1088560.48,535582.14,94864.94,12,279731.88,285738.87
56302.59,40943.23,4506.16,11,8741.35,6720.5
316705.99,213618.03,56492.55,11,58395.37,55745.22
520190.87,226885.25,86085.3,11,132545.46,160083.18
40522.16,14537.36,4763.24,8,12987.52,11729.93
148852.62,63411.08,7773.81,11,19112.13,71516.09
10000.0,7603.78,665.62,7,1890.09,441.78
35011.03,20684.32,4956.12,7,13233.69,3813.71
111429.54,63151.59,10636.73,11,25488.06,27226.6
25042.39,14980.28,4312.31,8,9557.7,1702.59
1883452.25,909734.06,360666.7,12,748521.9,251697.78
19049.34,13402.23,3180.45,10,4914.69,811.0
84114.42,47242.28,7922.12,9,15680.04,21140.9
198017.53,70964.33,32490.06,10,66778.06,67637.21
1413967.21,515437.09,126896.61,11,208974.77,656759.71
18886.58,10735.69,1103.11,9,3316.75,4789.22
931680.88,715796.54,33239.43,12,312545.37,-94974.71
165272.28,75062.71,15795.38,12,38028.12,51643.42
37336.89,27434.05,6855.24,7,5991.13,5048.28
325512.2,222014.88,22990.18,10,96136.03,9012.52
219386.34,92999.23,14283.64,12,70166.02,60085.62
66149.64,21046.85,12890.55,10,9096.99,38370.46
180719.82,63418.85,6189.78,8,33088.73,86132.77
91311.28,60653.24,14936.97,12,15192.65,18256.5
192967.3,77155.05,16331.38,7,41286.59,79216.13
439413.43,213394.75,15982.76,12,144581.73,79711.54
1756836.36,967752.57,326818.0,9,551844.14,226619.35
25419.62,16846.45,1366.03,12,7594.29,2020.56
3990990.73,1423249.6,494094.54,10,406624.74,2279730.77
10000.0,5031.83,765.89,10,1426.43,3955.94
129614.81,70320.76,5324.94,10,21644.28,39029.04
393358.15,224376.81,15139.11,10,71428.63,99948.68
248075.35,175930.15,12315.61,11,35704.98,40981.6
63956.01,24676.73,2694.62,10,14268.24,22805.83
119111.66,83844.57,18973.88,8,14597.63,22271.32
77691.3,50222.7,8743.87,8,25250.19,2267.13
67235.24,38857.63,5936.31,10,22612.3,6390.27
582103.27,378229.71,58863.86,8,158495.08,47008.28
278040.82,140691.12,52249.69,9,35286.57,112807.13
57563.02,21252.2,10639.25,15,21127.06,18321.38
627437.79,397094.48,95160.35,9,244506.7,8624.01
258060.49,145116.74,46553.08,13,41472.66,94854.32
550891.51,341380.53,46462.28,10,171543.18,31137.57
418504.64,196278.42,39669.46,12,147557.03,84964.54
46934.46,35361.99,6304.76,10,12294.63,793.97
70243.88,41702.73,9554.32,11,13837.83,15185.54
499289.02,171106.97,55864.94,10,121610.64,202516.95
406587.89,213418.8,39891.08,15,103143.47,86447.52
157731.2,106969.84,31175.68,9,34731.01,19649.01
194073.28,135282.13,32913.08,11,73544.6,-10783.04
1106262.02,605455.58,114992.21,12,357505.09,159461.53
67013.07,50083.81,10295.87,7,11552.42,6783.96
369773.55,160420.42,28038.26,10,101934.42,111599.53
120175.81,60724.76,5651.72,10,36846.71,21415.48
117415.97,87979.6,10557.25,9,16678.58,15557.26
845907.49,632847.38,83326.43,16,175549.25,33669.91
561363.84,360876.33,18419.08,9,208639.0,-2649.59
551426.84,402260.52,92923.5,13,148969.03,38777.15
1153392.56,397212.98,105031.25,13,190424.33,579501.27
167964.14,123033.31,21612.13,10,22983.45,27949.02
452674.89,208370.76,19272.06,9,115643.98,138579.25
102191.1,39769.28,6105.86,8,27009.69,33036.02
264672.77,111079.17,47971.39,9,53020.4,118614.76
133891.55,68148.69,17871.43,6,38711.37,26109.28
188243.94,80115.87,36057.8,8,22703.24,97943.67
397414.68,182923.53,79398.49,8,57045.66,168203.53
47699.16,17528.93,4446.33,12,12586.96,17054.6
3754932.67,1682541.71,303385.5,14,445127.4,1757714.5
35989.19,21094.77,6331.24,10,13109.88,3391.6
26336.66,13719.47,5261.11,10,3756.76,11079.0
924646.06,437689.89,126712.58,12,279405.81,225675.03
533649.24,359266.58,88144.94,14,115994.55,80186.11
415060.56,309948.55,67612.04,10,91286.89,29043.55
417699.8,283365.29,37763.3,11,137618.24,-11248.21
159792.25,74463.25,20393.64,11,39922.28,49286.91
42366.72,28479.8,7270.96,6,13459.76,1510.96
182354.31,68563.41,26802.32,16,45872.57,70679.66
58938.95,21522.09,1980.22,9,16377.46,19622.33
702695.97,332244.15,61303.17,11,230634.93,140863.79
130537.25,91878.8,7122.23,12,36836.65,5443.11
47181.36,19965.93,3284.07,11,13431.8,14773.29
100500.83,33328.76,18485.44,10,33845.25,33451.56
302367.12,110622.45,10967.42,11,116328.51,81016.05
69871.5,50962.35,4706.97,6,14883.67,4684.97
47413.84,29249.2,3917.65,8,12950.39,5440.76
234575.04,100069.85,31637.2,11,29528.76,101676.1
235025.63,135762.07,28390.46,11,48801.0,59689.14
76083.39,42895.04,5105.64,12,17013.37,17841.87
80293.39,50401.6,4650.67,9,28148.55,493.58
230515.85,96031.47,16195.04,7,58555.11,81217.15
18543.48,13577.56,2140.47,10,5921.3,-684.53
19708.48,8961.14,1499.82,11,2083.23,9299.2
55399.93,35847.4,10586.51,11,13259.85,8753.28
118164.06,36401.89,12863.0,9,43767.41,39058.49
259460.91,126183.25,10377.22,12,43406.3,87459.09
1488135.16,708136.42,229136.04,19,162886.3,677528.5
589181.42,336859.89,50612.86,11,135525.05,113563.99
128039.26,43068.33,18065.46,7,39862.4,44728.02
158177.91,109944.04,12263.7,9,37383.62,13014.36
36177.98,14792.83,4595.56,10,8610.12,12545.87
158297.32,101075.83,25527.96,7,47638.23,16828.96
105557.6,74059.85,19819.65,10,18611.56,20596.08
264098.61,153425.05,19646.72,11,85981.78,25179.16
47058.82,31550.19,4090.62,12,6867.48,8291.8
354697.21,223789.17,38635.5,13,77581.21,58638.87
1621899.21,774886.51,304300.28,14,481383.63,412418.84
138255.65,97391.33,25333.38,5,48183.57,-39.99
297320.98,133006.75,13462.49,12,100333.74,61339.57
458271.0,268366.46,24026.26,12,145045.37,52446.42
89158.35,59976.72,10185.14,10,18520.77,11450.86
227780.73,111493.64,10962.01,7,31135.64,84941.85
165858.22,74865.71,14719.71,8,27374.94,66351.0
188436.08,99809.51,10406.48,8,67733.38,26496.41
51046.15,36190.79,7050.84,5,18233.65,-1266.76
168849.87,129163.55,32320.27,10,65086.27,-18890.24
343518.91,196678.9,68513.04,9,42182.95,108888.79
1435057.41,905138.21,134595.46,17,374611.3,203904.76
686187.53,515763.81,90461.58,11,202154.22,8251.45
4113454.26,1436720.26,722180.66,15,1288322.41,1513889.96
51481.54,21418.35,2572.46,6,15092.28,15399.43
602281.94,394163.42,88671.53,10,199357.38,39676.94
214274.46,152536.04,21321.04,10,44535.12,17915.78
4345730.38,3165927.66,282667.37,11,668502.97,628387.57
48414.4,24572.9,4767.27,8,7812.87,16063.59
46185.32,15918.69,1981.96,8,4784.5,27520.73
66231.47,34366.9,9816.78,9,13583.85,19911.39
10000.0,4153.67,729.66,11,1275.23,4860.86
73966.49,32959.34,6134.7,10,14530.47,26895.8
52119.84,35761.18,2636.42,10,15034.65,235.33
203941.95,68884.16,36096.1,11,75120.68,65388.26
271748.96,193971.85,30948.27,12,95623.47,-12269.87
2714874.43,1394996.26,345508.41,12,477281.07,861689.73
677141.65,404952.35,85863.97,11,94952.15,202047.09
68503.8,23621.9,6835.57,10,10818.24,35821.6
42293.05,19821.89,2653.05,11,16549.1,4564.97
340400.71,117387.34,53331.45,13,90152.52,141721.94
22463.57,17538.92,1159.11,8,3476.25,1287.66
2538764.62,1786353.04,120993.83,14,894213.44,-146965.05
954707.4,505819.61,143897.94,11,208658.34,280877.13
80518.04,33157.43,5274.12,9,29772.89,20772.45
12460.24,9553.61,1023.63,7,2220.45,599.8
1240231.43,585759.2,137403.59,11,270328.94,420156.15
137062.22,52151.11,14582.01,12,34469.0,51212.92
1042074.99,606052.26,156788.99,12,383259.13,61897.05
14888.71,11492.4,2024.62,8,5369.27,-1655.29
66233.22,19996.81,9242.67,6,18035.74,26677.33
164040.0,68743.0,24833.89,9,27318.02,75215.26
174638.06,134335.76,13926.37,10,38596.25,5454.57
82859.51,31945.9,7026.21,8,32538.09,17663.36
414270.7,147737.93,43274.56,11,116961.86,171165.49
32812.65,19198.47,2699.45,8,10970.23,2700.56
131456.43,96084.39,25954.68,10,30886.93,7027.28
194939.29,104985.51,32825.6,10,50606.66,45373.94
352095.69,280719.6,20418.49,9,80519.44,-15267.54
473270.47,302697.09,14648.2,10,147128.57,34537.88
30122.78,10152.5,1122.77,9,10706.88,9114.4
16298.51,12980.39,1165.19,10,4110.63,-381.43
1106281.81,557507.53,54682.98,12,270220.66,319704.9
267927.32,118879.69,32330.11,9,54144.34,101866.3
52958.84,30659.97,9313.3,10,8109.53,14115.8
1667319.76,753884.96,258847.29,15,636539.86,280445.45
193592.74,66446.59,12903.64,12,37716.5,87111.96
954502.72,287032.5,93427.56,13,324728.93,374978.8
180101.84,94515.94,20953.41,11,56660.78,30935.28
3580889.84,2572624.82,600640.54,15,1207745.63,-87147.79
2264832.28,1327548.63,391024.82,14,862970.04,102333.64
112033.56,89582.45,20687.23,11,32154.89,-3058.5
698965.33,309937.53,81479.57,13,258187.38,165254.16
428507.67,188640.88,63430.58,9,64408.64,195728.83
1267994.83,481679.19,62139.43,9,365199.97,441359.65
38277.4,14623.18,4826.75,9,12695.95,11723.56
455466.38,201586.37,32920.02,11,82663.66,176786.15
796224.72,554506.83,82323.16,10,256564.42,12325.46
11636.37,8760.77,1603.36,9,3881.23,-530.27
27587.34,21726.23,2032.85,5,9637.81,-3139.97
10000.0,4161.45,388.71,6,1938.65,4056.68
108650.3,80471.71,3448.53,9,33082.06,-5919.24
477497.11,221619.56,16123.7,8,91333.73,171342.67
1549643.68,552324.42,48688.96,15,498539.15,511161.95
181887.23,133689.38,8868.89,7,43451.42,7438.89
1872759.03,1157463.99,132428.56,11,522992.89,208659.38
20534.22,7851.57,1388.27,10,4615.11,8782.48
12643.85,6510.52,2500.39,9,1878.81,4928.46
149743.4,66430.49,12282.11,8,22971.96,63515.21
289554.31,193537.32,14958.82,12,35693.55,59192.14
154965.51,81621.59,19021.34,10,44230.54,30804.63
10000.0,7946.4,1758.53,12,3545.92,-940.79
142389.27,46614.33,20684.93,11,15129.01,83899.38
23001.06,10983.18,1847.77,8,2757.18,10605.16
444412.66,240405.07,55762.57,9,105432.5,114649.84
282066.28,155578.39,42740.24,9,90632.47,39160.93
39742.65,18200.86,6111.54,7,5854.58,17374.3
75297.31,50044.1,10790.97,12,13666.11,14079.09
33229.05,24502.22,5916.03,9,5635.71,4131.15
148150.12,113980.72,26358.56,11,32550.86,9010.7
681951.27,479102.61,87575.65,14,114226.57,116570.78
37101.44,26909.3,3824.25,4,7634.72,2937.72
346649.61,199418.04,48207.5,13,110429.66,37650.67
73468.61,52379.02,12423.25,9,20813.86,1793.88
49547.68,22383.26,1534.04,10,6161.48,21127.39
138614.84,69201.99,27534.38,8,40381.79,37712.65
34445.6,15791.81,2104.35,7,8374.52,12168.3
70935.48,37857.82,7798.81,10,26981.71,6996.18
26988.96,11950.44,4810.65,13,5041.3,11192.38
3100542.64,2420921.43,211633.33,14,985507.25,-303273.39
171595.51,78320.02,19056.57,13,54783.28,46165.49
56977.5,19886.42,2993.54,9,9483.92,30449.64
224351.63,126401.63,21798.67,9,83227.07,23884.82
137517.7,45181.38,8266.61,8,34015.69,62183.79
116838.23,41509.3,10727.7,9,35479.68,45654.05
408909.87,167528.21,38228.54,7,58783.52,194372.75
506997.61,269811.52,100810.91,9,89911.55,154578.22
73441.78,37941.89,14623.6,8,20257.6,15325.77
68615.42,48020.23,3397.4,9,13428.6,7571.5
107734.21,72153.62,16528.01,10,26923.63,10548.92
10000.0,5131.59,387.97,8,2122.02,2524.67
16767.76,7828.07,589.1,8,4898.97,4050.37
1264656.88,579509.28,60585.62,11,311287.21,363864.94
1919262.53,1318528.64,372591.35,8,194580.56,476811.33
112021.48,36523.06,21278.12,8,33035.61,44581.77
386480.02,118421.66,24335.77,9,87590.47,187859.38
259594.28,181137.67,14922.59,11,52570.31,23229.31
5000000.0,2692865.94,354454.82,15,641220.13,1878741.26
872713.29,318924.84,102668.6,13,144967.2,392034.15
134339.25,56124.65,17040.91,11,22452.35,58916.77
38819.94,29745.86,2626.98,8,14775.29,-6164.49
14622.7,10670.94,2319.54,7,3359.62,900.45
220840.38,144626.71,18246.72,9,24870.99,56042.75
52337.79,28320.64,9774.73,6,7413.39,17748.06
19276.06,10797.72,2730.32,10,2384.64,6513.63
61706.26,48601.22,6428.54,9,17071.7,-3120.98
32134.26,25157.44,5279.18,6,5012.51,2529.12
2044599.43,833449.31,345630.31,10,510265.14,751297.59
610760.17,430923.23,48483.29,9,128881.77,57769.18
160820.01,64106.28,14112.19,10,54865.82,45954.96
1498411.65,609507.02,283368.19,14,293908.79,613853.22
182782.55,116623.77,10602.48,9,43407.13,28532.98
44715.42,22469.52,1661.87,4,14147.32,8313.61
1598675.63,1224221.36,171361.09,12,367703.97,54874.02
365260.13,125833.89,60708.31,10,123445.02,121809.94
34342.22,19086.13,5535.4,8,10251.33,5756.06
122331.76,92881.71,22792.88,8,27299.4,4089.79
43764.25,32913.21,5279.9,9,10993.34,1673.18
20451.27,7735.99,961.43,8,7979.29,5046.24
